BatchNo,CsName,ProcessId,Description,ExecutablePath,num_handles,ThreadCount,system,other_count,OtherTransferCount,num_page_faults,PageFileUsage,lpeak_pagefile,Peakvms,peak_wset,PrivatePageCount,QuotaNonPagedPoolUsage,QuotaPagedPoolUsage,peak_nonpaged_pool,ReadOperationCount,vms,rss,WriteOperationCount,WriteTransferCount,IDProcess,Name,IODataOperationsPerSec,read_bytes,read_count,write_bytes,write_count,IODataBytesPerSec,num_page_faultsPerSec,pagefile,pagefilePeak,PercentPrivilegedTime,PercentProcessorTime,PercentUserTime,paged_pool,ioniceBase,PrivateBytes,VirtualBytes,VirtualBytesPeak,wset,wsetPeak,connections,OSVersion,UserName,ComputerId,TimeStamp
1,DESKTOP-9J3JMK6,4388,svchost.exe,,389,13,1562500,567,21740,46872,3692,3864,2203422388224,30316,3780608,24,122,26,12,2203418718208,13365248,12,1920,4388,svchost#47,24,1392,12,1920,12,3312,46872,3780608,3956736,1562500,3593750,2031250,124320,8,3780608,2203418718208,2203422388224,13365248,31043584,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,4456,dasHost.exe,,418,3,4843750,43408,6430142,36528,6108,7504,2203437531136,19788,6254592,21,130,33,1053,2203417919488,15785984,144,20430,4456,dasHost,1197,10746,1053,20430,144,31176,36528,6254592,7684096,4843750,9843750,5000000,132664,8,6254592,2203417919488,2203437531136,15785984,20262912,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,4872,wslservice.exe,,444,5,1718750,1214,31764,47536,5204,5732,2203455066112,20292,5328896,20,186,23,20,2203446145024,9154560,10,2391,4872,wslservice,30,3197,20,2391,10,5588,47536,5328896,5869568,1718750,2656250,937500,190328,8,5328896,2203446145024,2203455066112,9154560,20779008,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,5256,dllhost.exe,,213,4,1718750,3928,80544,17763,3452,3720,2203556605952,28604,3534848,18,111,23,27,2203549720576,11362304,701,9125888,5256,dllhost,728,1613824,27,9125888,701,10739712,17763,3534848,3809280,1718750,1718750,0,112848,8,3534848,2203549720576,2203556605952,11362304,29290496,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,5888,unsecapp.exe,,127,3,468750,376,10746,48614,1544,1572,2203411951616,7644,1581056,9,103,9,0,2203407757312,5668864,0,0,5888,unsecapp,0,0,0,0,0,0,48614,1581056,1609728,468750,781250,312500,105392,8,1581056,2203407757312,2203411951616,5668864,7827456,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,5980,WmiPrvSE.exe,,494,16,107968750,28753,814747,1051392,59188,61052,2203521720320,67496,60608512,29,198,31,49,2203513520128,68923392,14,1372,5980,WmiPrvSE,63,12094572,49,1372,14,12095944,1051452,60608512,62517248,107968750,171875000,63906250,202328,8,60608512,2203513520128,2203521720320,68923392,69115904,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,1776,svchost.exe,,131,1,0,57,174,12795,1412,1768,2203393961984,16384,1445888,9,65,10,0,2203388194816,8982528,0,0,1776,svchost#48,0,0,0,0,0,0,12795,1445888,1810432,0,0,0,65880,8,1445888,2203388194816,2203393961984,8982528,16777216,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,4928,sihost.exe,C:\WINDOWS\system32\sihost.exe,615,9,2164843750,94875,5881274,187362,9044,9464,2203512365056,31688,9261056,19,256,22,2022,2203493093376,24842240,0,0,4928,sihost,2022,8296808,2022,0,0,8296808,187362,9261056,9691136,2164843750,3830000000,1665156250,261160,8,9261056,2203493093376,2203512365056,24842240,32448512,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,5700,svchost.exe,C:\WINDOWS\system32\svchost.exe,436,13,42343750,14874,9288453,112907,8400,8624,2203465252864,45768,8601600,19,203,24,1004,2203463102464,24162304,20586,43973325,5700,svchost#49,21590,8230926,1004,43973325,20586,52204251,112907,8601600,8830976,42343750,127343750,85000000,207464,8,8601600,2203463102464,2203465252864,24162304,46866432,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,3132,svchost.exe,C:\WINDOWS\system32\svchost.exe,506,5,189843750,119655,7601084,348509,9528,10264,2203546185728,92260,9756672,24,334,30,1569,2203523600384,31985664,62505,131617056,3132,svchost#50,64074,6422628,1569,131617056,62505,138039684,348509,9756672,10510336,189843750,642812500,452968750,341448,8,9756672,2203523600384,2203546185728,31985664,94474240,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
1,DESKTOP-9J3JMK6,3780,taskhostw.exe,C:\WINDOWS\system32\taskhostw.exe,307,8,278906250,1053982,9600408,664376,7944,9836,2203591307264,18900,8134656,30,182,50,296,2203585650688,14577664,95819,915510346,3780,taskhostw,96115,3477529,296,915510346,95819,918987875,664376,8134656,10072064,278906250,474687500,195781250,185792,8,8134656,2203585650688,2203591307264,14577664,19353600,[],Windows,DESKTOP-9J3JMK6\ACL,,1706042767
